time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-21 11:30:00,EURUSD,1.14226,1.14234,1.14182,1.14232,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-21 11:45:00,EURUSD,1.14233,1.14236,1.14205,1.1421,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-21 12:00:00,EURUSD,1.1421,1.14233,1.14205,1.14222,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 12:15:00,EURUSD,1.14223,1.1425,1.14208,1.1421,-100.0,-1,"pat_engulfing=-100,pat_shooting_star=-100",-100,0,0,-100,0,0,0,0
2026-07-21 12:30:00,EURUSD,1.14209,1.14288,1.14203,1.14235,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 12:45:00,EURUSD,1.14235,1.14255,1.14224,1.14225,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-21 13:00:00,EURUSD,1.14219,1.14277,1.14217,1.14245,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 13:15:00,EURUSD,1.14244,1.14276,1.1424,1.1427,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 13:30:00,EURUSD,1.14269,1.14286,1.14242,1.14247,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 13:45:00,EURUSD,1.14244,1.14245,1.142,1.14202,-100.0,-1,pat_marubozu=-100,0,0,0,0,0,0,0,-100
2026-07-21 14:00:00,EURUSD,1.14202,1.14212,1.14164,1.14197,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 14:15:00,EURUSD,1.14198,1.14216,1.14183,1.14205,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 14:30:00,EURUSD,1.14206,1.1423,1.142,1.14227,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 14:45:00,EURUSD,1.14226,1.14226,1.14177,1.14191,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 15:00:00,EURUSD,1.1419,1.14205,1.14159,1.14171,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 15:15:00,EURUSD,1.14171,1.14178,1.14147,1.14156,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 15:30:00,EURUSD,1.14156,1.14189,1.14136,1.14153,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-21 15:45:00,EURUSD,1.14153,1.14185,1.14149,1.14173,100.0,1,"pat_engulfing=100,pat_harami=100",100,0,0,0,100,0,0,0
2026-07-21 16:00:00,EURUSD,1.14177,1.14181,1.14137,1.14167,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 16:15:00,EURUSD,1.14167,1.14168,1.14095,1.14106,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 16:30:00,EURUSD,1.14107,1.14136,1.14054,1.14065,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 16:45:00,EURUSD,1.14065,1.14127,1.1406,1.14114,100.0,1,"pat_engulfing=100,pat_harami=100",100,0,0,0,100,0,0,0
2026-07-21 17:00:00,EURUSD,1.14115,1.14195,1.14113,1.14189,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
2026-07-21 17:15:00,EURUSD,1.14187,1.14187,1.14095,1.14101,-100.0,-1,pat_marubozu=-100,0,0,0,0,0,0,0,-100
2026-07-21 17:30:00,EURUSD,1.14099,1.14111,1.14037,1.1408,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 17:45:00,EURUSD,1.14079,1.14087,1.14027,1.14059,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 18:00:00,EURUSD,1.14058,1.14064,1.14027,1.14054,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 18:15:00,EURUSD,1.14054,1.14116,1.14053,1.14089,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 18:30:00,EURUSD,1.14088,1.14116,1.14057,1.14058,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-21 18:45:00,EURUSD,1.14058,1.14075,1.14039,1.14072,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 19:00:00,EURUSD,1.14073,1.14096,1.1407,1.1408,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 19:15:00,EURUSD,1.14079,1.14091,1.14074,1.14083,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 19:30:00,EURUSD,1.14083,1.1411,1.14069,1.141,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 19:45:00,EURUSD,1.141,1.14101,1.14078,1.14081,-100.0,-1,"pat_engulfing=-100,pat_harami=-100",-100,0,0,0,-100,0,0,0
2026-07-21 20:00:00,EURUSD,1.14081,1.14094,1.14072,1.1409,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 20:15:00,EURUSD,1.14089,1.14103,1.1408,1.14103,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 20:30:00,EURUSD,1.14103,1.14107,1.1407,1.14078,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-21 20:45:00,EURUSD,1.14077,1.14084,1.14062,1.14068,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 21:00:00,EURUSD,1.14069,1.1407,1.14011,1.14017,-100.0,-1,pat_marubozu=-100,0,0,0,0,0,0,0,-100
2026-07-21 21:15:00,EURUSD,1.14017,1.14033,1.13986,1.14026,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-21 21:30:00,EURUSD,1.14025,1.14029,1.13991,1.14012,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-21 21:45:00,EURUSD,1.14012,1.14031,1.14008,1.14028,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-21 22:00:00,EURUSD,1.14029,1.14042,1.14009,1.14018,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 22:15:00,EURUSD,1.14017,1.1404,1.14016,1.14032,100.0,1,"pat_engulfing=100,pat_harami=100",100,0,0,0,100,0,0,0
2026-07-21 22:30:00,EURUSD,1.14032,1.14034,1.14002,1.14012,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-21 22:45:00,EURUSD,1.14011,1.1403,1.14008,1.14016,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 23:00:00,EURUSD,1.14016,1.1403,1.14009,1.14011,-100.0,-1,"pat_engulfing=-100,pat_shooting_star=-100,pat_harami=-100",-100,0,0,-100,-100,0,0,0
2026-07-21 23:15:00,EURUSD,1.14011,1.14013,1.13996,1.14011,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-21 23:30:00,EURUSD,1.14012,1.14013,1.14004,1.14008,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 23:45:00,EURUSD,1.14008,1.14014,1.13972,1.13975,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 00:00:00,EURUSD,1.13953,1.13976,1.13953,1.13967,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 00:15:00,EURUSD,1.13966,1.13969,1.13966,1.13967,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 00:30:00,EURUSD,1.13968,1.14003,1.13962,1.13995,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 00:45:00,EURUSD,1.13995,1.14004,1.1399,1.13993,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 01:00:00,EURUSD,1.14004,1.14004,1.13989,1.13991,-100.0,-1,pat_marubozu=-100,0,0,0,0,0,0,0,-100
2026-07-22 01:15:00,EURUSD,1.13991,1.14005,1.13989,1.14001,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 01:30:00,EURUSD,1.14001,1.14005,1.13994,1.14001,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 01:45:00,EURUSD,1.14001,1.14003,1.13991,1.13992,0.0,0,none,0,0,0,0,0,0,0,0
